"Native.ID","SEASONAL_SNOW_DEPTH"
"AKN",37.9635589904128
"BGP",87.966123451278
"BLO",20.3316706947087
"BMN",44.8312634989201
"CAC",61.8984310393656
"CHW",21.398683429024
"CPI",90.7512914736113
"CRG",96.7327255032526
"CRY",26.3497473445395
"DCD2",3.35929515418502
"DIK",109.158338826632
"FAQ",14.5401360544218
"FDK",68.5216446453408
"FER",0
"FLK",74.7134587554269
"FLL",31.1863835868123
"GRP",62.0969095764975
"HRN",46.1307719965073
"JHL",18.611217641419
"KAA",8.41555339290454
"KWA",51.5082672471881
"LCU",70.4840369923603
"MCQ",18.9549902152642
"MNS",87.4139210448204
"MOC",50.4255609858637
"MOL",96.5241986900829
"MSK",23.8801714191528
"MTR",92.5473909839909
"NDE",5.35018348623853
"PAR",25.9353718199609
"PLL",32.9904343473667
"PUL",57.6360833822666
"PYN",88.4073381374113
"SKI",39.4998287587455
"TSY",47.8590962556361
"WJR",1.38471849865952
"WRU",31.0123263549208
"YGS",14.0020639834881
